StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,training_clear,training_unclear,training_gramm,training_pragm,exp1_indef,exp2_bare,filler1_clear,filler2_clear,filler3_uncertain,exp3_bare,exp4_indef,filler5_clear,filler5_uncertain,filler6_uncertain,exp5_bare,exp6_indef,filler7_clear,filler8_clear,filler9_uncertain,exp7_bare,exp8_indef,filler14_clear,filler15_uncertain,filler16_uncertain,exp9_bare,exp10_indef,filler13_clear,filler14_clear,filler15_uncertain,exp11_bare,exp12_indef,filler16_clear,filler17_uncertain,filler18_uncertain,exp13_bare,exp14_indef,filler19_clear,filler20_clear,filler21_uncertain,exp15_bare,exp16_indef,filler22_clear,filler23_clear,filler24_uncertain,exp1_bare,exp2_indef,exp3_indef,"exp4_bare ",exp5_indef,exp6_bare,exp7_indef,"exp8_bare ","exp9_indef ","exp10_bare ",exp11_indef,exp12_bare,exp13_indef,exp14_bare,exp15_indef,"exp16_bare ",language_household,"language_today ",ReactionTime_exp1_bare,ReactionTime_exp1_indef,ReactionTime_exp2_bare,ReactionTime_exp2_indef,ReactionTime_exp3_bare,ReactionTime_exp3_indef,ReactionTime_exp4_bare,ReactionTime_exp4_indef,ReactionTime_exp5_bare,ReactionTime_exp5_indef,ReactionTime_exp6_bare,ReactionTime_exp6_indef,ReactionTime_exp7_bare,ReactionTime_exp7_indef,ReactionTime_exp8_bare,ReactionTime_exp8_indef,ReactionTime_exp9_bare,ReactionTime_exp9_indef,ReactionTime_exp10_bare,ReactionTime_exp10_indef,ReactionTime_exp11_bare,ReactionTime_exp11_indef,ReactionTime_exp12_bare,ReactionTime_exp12_indef,ReactionTime_exp13_bare,ReactionTime_exp13_indef,ReactionTime_exp14_bare,ReactionTime_exp14_indef,ReactionTime_exp15_bare,ReactionTime_exp15_indef,ReactionTime_exp16_bare,ReactionTime_exp16_indef,Create New Field or Choose From Dropdown...
2024-12-16 10:54:44,2024-12-16 11:22:43,IP Address,57.129.18.159,100,1679,True,2024-12-16 11:22:44,R_8tbBmf86IgVgtHE,,,,,50.1101,8.6721,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед в своем доме.","Света думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу другие розы, которые уже были у нее в магазине.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.","Лена съела персики, которые она купила на рынке.","Олег использовал гвозди, которые он занял у соседа.","Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Жена постирала другие одеяла.,"Марина упаковала печенья, которые она испекла.","Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Только на русском,Только на русском,,,,36020,,22748,14682,,,64060,25144,,,34010,24012,,,15582,17761,,,38515,27820,,,9618,41811,,,11124,21406,,
2024-12-16 12:02:57,2024-12-16 12:27:23,IP Address,167.71.14.228,100,1465,True,2024-12-16 12:27:24,R_8JUruugLtmuP3hv,,,,,52.352,4.9392,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.","Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела персики, которые она купила на рынке.","Олег использовал гвозди, которые он занял у соседа.","Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.","Жена постирала одеяла, которые купил Олег.",Марина упаковала другие печенья.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Только на русском,Только на русском,21834,,,36624,,41233,13064,,,48435,21511,,,33580,24801,,,24948,18532,,,27797,17814,,,12378,49489,,,12965,13726,,
2024-12-16 12:15:33,2024-12-16 12:40:32,IP Address,51.158.62.236,100,1499,True,2024-12-16 12:40:33,R_8Dbk0jtxka1VFGy,,,,,48.8323,2.4075,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.","Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,"Учительница разложила папки, которые она собрала у класса.","Карина надела другие варежки, которые у нее были.",Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.",Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на планшете.,"Лена съела персики, которые она купила на рынке","Олег использовал гвозди, которые он занял у соседа.",Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,"Жена постирала одеяла, которые купил Олег.","Марина упаковала печенья, которые она испекла.",Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,Только на русском,,15336,39439,,11284,,,53404,14724,,,38289,31254,,,19500,18056,,,10893,35348,,,14599,6224,,,32609,19546,,,11929,
2024-12-16 12:28:29,2024-12-16 12:43:07,IP Address,213.142.147.121,100,877,True,2024-12-16 12:43:07,R_81jeXP0qcxii4i9,,,,,51.4964,-0.1224,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",Ваня съел другие яблоки.,"Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат другие помидоры, которые у нее уже были до этого.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,"Учительница разложила папки, которые она собрала у класса.","Карина надела другие варежки, которые у нее были.",Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.",Катя нарисовала другие листья.,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке",Олег использовал другие гвозди.,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили другие подсвечники, которые были в мастерской.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,"Жена постирала одеяла, которые купил Олег.",Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла другие свечи, которые у нее уже были.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,Только на русском,,9594,24046,,16476,,,7941,11911,,,8971,10125,,,12395,8412,,,9209,12823,,,11238,7958,,,18898,8998,,,8913,
2024-12-16 13:29:25,2024-12-16 13:42:17,IP Address,185.153.183.157,100,771,True,2024-12-16 13:42:18,R_2Fg7X6l0wKKJrXz,,,,,35.0077,32.9882,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света не думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил спальню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела персики, которые она купила на рынке.","Олег использовал гвозди, которые он занял у соседа.",Алексей продемонстрировал других роботов.,"Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Жена постирала другие одеяла.,"Марина упаковала печенья, которые она испекла.","Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Только на русском,Только на русском,6778,,,24944,,28249,22886,,,15447,10871,,,14172,9097,,,10693,11168,,,10081,16953,,,8684,28894,,,7882,9478,,
2024-12-16 15:36:29,2024-12-16 15:46:41,IP Address,78.244.7.175,100,612,True,2024-12-16 15:46:42,R_8oMTFAVLTyu2QIW,,,,,48.8582,2.3387,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.","Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,"Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.",Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке","Олег использовал гвозди, которые он занял у соседа.",Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,"Жена постирала одеяла, которые купил Олег.",Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,На русском и еще одном языке или нескольких языках,,28641,17406,,7822,,,9521,11838,,,13383,12977,,,10873,9779,,,8441,7485,,,8547,7856,,,7511,6400,,,7835,
2024-12-16 15:36:03,2024-12-16 15:47:17,IP Address,107.159.73.95,100,674,True,2024-12-16 15:47:18,R_3UXCOejj0JKRDZV,,,,,45.5362,-73.5754,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",Ваня съел другие яблоки.,"Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат другие помидоры, которые у нее уже были до этого.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,"Учительница разложила другие папки, которые лежали у нее на столе.","Карина надела другие варежки, которые у нее были.",Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула другие книги, которые пора было сдавать.",Катя нарисовала другие листья.,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке",Олег использовал другие гвозди.,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили другие подсвечники, которые были в мастерской.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,Жена постирала другие одеяла.,Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла другие свечи, которые у нее уже были.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,На русском и еще одном языке или нескольких языках,,7494,17414,,7748,,,9823,29071,,,13515,13654,,,12009,13581,,,7883,14165,,,9952,7895,,,7881,11690,,,9560,
2024-12-16 15:38:47,2024-12-16 15:49:47,IP Address,77.100.5.183,100,660,True,2024-12-16 15:49:48,R_8xcQ6eDVpO122Bj,,,,,51.6187,-0.1154,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света не думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил спальню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу другие розы, которые уже были у нее в магазине.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила другие папки, которые лежали у нее на столе.",Карина надела варежки которые она вчера постирала.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела другие персики, которые у нее были.","Олег использовал гвозди, которые он занял у соседа.",Алексей продемонстрировал других роботов.,"Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Жена постирала другие одеяла.,"Марина упаковала печенья, которые она испекла.","Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Только на русском,Только на русском,9076,,,28218,,18922,10327,,,16475,17497,,,8245,8957,,,12579,9065,,,12103,8965,,,7544,7411,,,13237,7298,,
2024-12-16 15:32:37,2024-12-16 15:52:03,IP Address,176.230.225.217,100,1165,True,2024-12-16 15:52:03,R_4dn6ZzlpzkIol3n,,,,,31.9011,34.8285,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света не думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу другие розы, которые уже были у нее в магазине.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила другие папки, которые лежали у нее на столе.",Карина надела варежки которые она вчера постирала.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела другие персики, которые у нее были.","Олег использовал гвозди, которые он занял у соседа.",Алексей продемонстрировал других роботов.,"Ребята раскрасили подсвечники, которые они сделали на мастер-классе.","Жена постирала одеяла, которые купил Олег.","Марина упаковала печенья, которые она испекла.",Яна приготовила другие кабачки.,"Оля зажгла свечи, которые она купила в этот день.",Только на русском,На русском и еще одном языке или нескольких языках,10206,,,36774,,14434,13398,,,56410,16160,,,12154,12999,,,11111,12631,,,12519,14006,,,13936,24377,,,61166,11418,,
2024-12-16 15:44:31,2024-12-16 15:57:00,IP Address,153.168.9.74,100,749,True,2024-12-16 15:57:01,R_4LRoFaHEE7LxHaV,,,,,35.301,139.5386,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",Ваня съел другие яблоки.,"Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат другие помидоры, которые у нее уже были до этого.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,"Учительница разложила папки, которые она собрала у класса.","Карина надела другие варежки, которые у нее были.",Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.",Катя нарисовала другие листья.,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке",Олег использовал другие гвозди.,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили другие подсвечники, которые были в мастерской.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,Жена постирала другие одеяла.,Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла другие свечи, которые у нее уже были.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,Только на русском,На русском и еще одном языке или нескольких языках,,14688,15369,,16307,,,8049,12884,,,6635,10948,,,12947,11492,,,8857,13542,,,18816,9425,,,14323,8708,,,6855,
2024-12-16 15:30:46,2024-12-16 15:57:21,IP Address,67.218.243.12,100,1594,True,2024-12-16 15:57:22,R_8kHx9HPwZPTqbCl,,,,,42.8198,-1.6374,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света не думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с пиццы.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил спальню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила другие папки, которые лежали у нее на столе.",Карина надела варежки которые она вчера постирала.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.","Лена съела другие персики, которые у нее были.","Олег использовал гвозди, которые он занял у соседа.",Алексей продемонстрировал других роботов.,"Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Жена постирала другие одеяла.,"Марина упаковала печенья, которые она испекла.",Яна приготовила другие кабачки.,"Оля зажгла свечи, которые она купила в этот день.",Только на русском,На русском и еще одном языке или нескольких языках,9962,,,44542,,62583,24252,,,27210,14658,,,35846,35570,,,10559,51297,,,11401,22816,,,38622,32031,,,80182,11910,,
2024-12-16 15:44:55,2024-12-16 15:57:31,IP Address,84.66.231.66,100,755,True,2024-12-16 15:57:31,R_2axgFvLM6WNSCXf,,,,,51.5967,-0.1593,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,"Дима вспомнил, что он забыл плед дома.","Света думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,,,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,,,Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,,,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,,,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,,,Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу другие розы, которые уже были у нее в магазине.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила другие папки, которые лежали у нее на столе.",Карина надела варежки которые она вчера постирала.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела другие персики, которые у нее были.","Олег использовал гвозди, которые он занял у соседа.",Алексей продемонстрировал других роботов.,"Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Жена постирала другие одеяла.,Марина упаковала другие печенья.,Яна приготовила другие кабачки.,"Оля зажгла свечи, которые она купила в этот день.",Только на русском,На другом языке (не на русском),7735,,,19734,,8326,9900,,,18379,12863,,,10055,30776,,,11775,16625,,,11309,27052,,,8409,13202,,,6875,6471,,
