StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,prolific_id,training_clear,training_unclear,training_grammatical,training_pragmatics,exp1_bare,"exp2_def ",filler1_clear,filler2_clear,filler3_uncertain,"exp3_def ",exp4_bare,filler5_clear,filler7_uncertain,filler8_uncertain,exp5_def,exp6_bare,filler7_clear,filler8_clear,filler9_uncertain,exp7_def,exp8_bare,filler10_clear,filler11_uncertain,filler12_uncertain,exp9_def,exp10_bare,filler13_clear,filler14_clear,filler15_uncertain,exp11_def,exp12_bare,filler15_clear,filler16_uncertain,filler17_uncertain,exp13_def,exp14_bare,filler18_clear,filler19_clear,filler20_uncertain,exp15_def,exp16_bare,filler30_clear,filler31_uncertain,filler32_uncertain,exp3_bare,exp4_def,exp5_bare,exp6_def,exp7_bare,exp8_def,"exp9_bare ",exp10_def,exp11_bare,"exp12_def ",exp13_bare,exp14_def,exp15_bare,exp16_def,language_household,"us_origin ",ReactionTime_exp1_bare,ReactionTime_exp1_def,ReactionTime_exp2_bare,ReactionTime_exp2_def,ReactionTime_exp3_bare,ReactionTime_exp3_def,ReactionTime_exp4_bare,ReactionTime_exp4_def,ReactionTime_exp5_bare,ReactionTime_exp5_def,ReactionTime_exp6_bare,ReactionTime_exp6_def,ReactionTime_exp7_bare,ReactionTime_exp7_def,ReactionTime_exp8_bare,ReactionTime_exp8_def,ReactionTime_exp9_bare,ReactionTime_exp9_def,ReactionTime_exp10_bare,ReactionTime_exp10_def,ReactionTime_exp11_bare,ReactionTime_exp12_def,ReactionTime_exp11_def,ReactionTime_exp12_bare,ReactionTime_exp13_bare,ReactionTime_exp13_def,ReactionTime_exp14_bare,ReactionTime_exp14_def,ReactionTime_exp15_bare,ReactionTime_exp15_def,ReactionTime_exp16_bare,ReactionTime_exp16_def,Create New Field or Choose From Dropdown...
2024-12-12 13:29:27,2024-12-12 20:05:00,0,98.229.202.203,100,23733,1,2024-12-12 20:05:01,R_6fvTc1GqQK4CjB9,,,,,42.3912,-71.0882,anonymous,EN,,2,1,,,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-12 20:23:04,2024-12-12 20:25:07,1,,100,122,1,2024-12-12 20:25:08,R_3qvpHq6vZihsPlh,,,,,42.3737,-71.1284,preview,EN,,2,2,,,1,2,1,2,1,,,2,2,1,,,2,1,2,,,1,2,2,,,1,2,2,,,1,1,1,,,2,1,2,,,2,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,,,5225,,,1878,2846,,,5829,2712,,,2086,6283,,,2177,1874,,,3758,1832,1798,,,2275,,,2000,2641,,,2000,
2024-12-12 20:36:11,2024-12-12 20:52:44,0,73.149.241.126,100,993,1,2024-12-12 20:52:44,R_3TH0aEBq7V7DLdi,,,,,42.3737,-71.1284,anonymous,EN,,2,1,,,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,,,,,,,,,,,,,,,,,17753,,,14200,,23418,17606,,,26138,60300,,,20820,24367,,,8820,16920,,,,11926,11880,,26788,35320,,,10782,24167,,
2024-12-12 19:56:33,2024-12-13 07:45:30,0,73.96.76.175,100,42537,1,2024-12-13 07:45:31,R_3E6meRr9H50W9EE,,,,,44.0197,-123.1008,anonymous,EN,,2,1,,,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-13 14:19:24,2024-12-13 14:22:42,1,,100,198,1,2024-12-13 14:22:43,R_33gzKL8tPY1uURS,,,,,42.3737,-71.1284,preview,EN,blablabla,2,2,2,2,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,2,2,,,,,,,,,,,,,,,3,2,2600,,,2540,,1887,2482,,,2801,2604,,,2406,2934,,,1877,2061,,,,1920,3274,,4116,2537,,,2112,2285,,
2024-12-13 15:19:49,2024-12-13 15:28:58,0,174.197.72.122,100,548,1,2024-12-13 15:28:59,R_15vb9ooO4nw9NCl,,,,,32.9247,-96.8917,anonymous,EN,,2,1,,,1,2,2,2,1,,,1,1,2,,,1,1,1,,,1,2,1,,,2,1,2,,,2,1,1,,,1,1,2,,,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,,,16040,,,8686,16525,,,12685,25559,,,8975,11640,,,6386,7523,,,7838,14245,8155,,,12392,,,9215,17980,,,10624,
2024-12-14 11:17:04,2024-12-14 11:24:56,0,198.255.231.246,100,471,1,2024-12-14 11:24:57,R_64HjzFINfOP9TAL,,,,,43.6842,-70.2816,anonymous,EN,,2,1,,,1,2,2,2,2,,,1,2,2,,,1,2,1,,,1,2,1,,,2,1,2,,,1,1,1,,,2,1,2,,,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,,,8451,,,7454,11853,,,7678,13821,,,8079,13869,,,6799,6860,,,9071,11473,7566,,,12621,,,6428,,,,8605,
2024-12-14 11:15:28,2024-12-14 11:25:26,0,173.54.211.86,100,597,1,2024-12-14 11:25:26,R_7cDPdqUnE8v0xQ5,,,,,40.7258,-74.2845,anonymous,EN,,2,1,,,1,2,2,2,1,,,1,1,2,,,1,1,1,,,1,2,1,,,2,1,2,,,1,1,1,,,1,1,2,,,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,7497,,,16956,12312,,,9041,20482,,,22552,18248,,,11194,6852,,,8108,,6373,,,20359,,,10485,10690,,,10144,
2024-12-14 11:17:32,2024-12-14 11:29:13,0,71.30.215.104,100,701,1,2024-12-14 11:29:14,R_5BoH48ncnecUQIp,,,,,35.822,-80.2615,anonymous,EN,,2,1,,,1,2,2,2,1,,,1,1,2,,,1,1,1,,,1,2,1,,,2,1,2,,,1,1,1,,,2,1,2,,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,14896,,,16265,14127,,,15049,12474,,,14425,9049,,,11334,24300,,,9084,13914,20933,,,42189,,,,11052,,,12739,
2024-12-14 11:20:21,2024-12-14 11:29:33,0,70.177.122.205,100,552,1,2024-12-14 11:29:34,R_1r9p9AI3JZ2quFU,,,,,35.9077,-94.9905,anonymous,EN,,2,2,,,1,2,2,2,1,,,1,1,2,,,1,1,1,,,1,2,1,,,2,1,1,,,2,2,1,,,2,1,2,,,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,,,9554,,,14682,13465,,,10431,13747,,,6823,14425,,,9334,6703,,,8478,11939,12087,,,8851,,,12674,10290,,,12816,
2024-12-14 11:22:22,2024-12-14 11:30:09,0,69.250.72.32,100,467,1,2024-12-14 11:30:10,R_1cxbZygmLpAXiGl,,,,,39.2514,-76.7979,anonymous,EN,,2,1,,,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,2,1,,,,,,,,,,,,,,,,,10956,,,14594,,8703,7482,,,8156,6884,,,8817,15152,,,6373,8257,,,,8603,,,9523,11981,,,7671,13819,,
2024-12-14 11:20:51,2024-12-14 11:30:55,0,35.148.105.18,100,604,1,2024-12-14 11:30:55,R_5WRanUYDRhSfmnv,,,,,45.8946,-95.3747,anonymous,EN,,2,1,,,1,2,2,2,1,,,1,1,2,,,1,1,1,,,1,2,1,,,2,1,1,,,2,1,1,,,2,1,1,,,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,15335,,,23627,7373,,,11237,14432,,,8795,10500,,,11032,14024,,,7886,8898,18095,,,9786,,,13972,8652,,,12091,
2024-12-14 11:18:29,2024-12-14 11:31:02,0,24.62.179.33,100,752,1,2024-12-14 11:31:02,R_7EutLGRj4jPMTWk,,,,,42.3907,-71.1349,anonymous,EN,,2,2,,,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,,,,,,,,,,,,,,,,,51276,,,5884,,18231,13273,,,10309,5177,,,6967,5694,,,5046,8656,,,,8996,33566,,12391,28760,,,9790,10900,,
2024-12-14 11:22:08,2024-12-14 11:31:07,0,76.34.233.74,100,539,1,2024-12-14 11:31:08,R_5jOgydDx6eDOnwR,,,,,41.1413,-81.3445,anonymous,EN,,2,1,,,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,,,,,,,,,,,,,,,,,6344,,,6767,,15976,9399,,,8365,8132,,,10066,16281,,,7098,7153,,,,7735,11296,,10648,13821,,,7475,10505,,
